Skull and Crossbones,Klaus Badelt,70,203.98666666666668,/home/kaileen/Documents/CSC475/Project/music_repo/Skull and Crossbones.flac
Adam's Song,Blink-182,68,249.66095238095238,/home/kaileen/Documents/CSC475/Project/music_repo/Adam's Song.m4a
A Life Belt,René Breitbarth,123,382.47909297052155,/home/kaileen/Documents/CSC475/Project/music_repo/02 A Life Belt.m4a
Rollin' & Scratchin',Daft Punk,130,447.5646258503401,/home/kaileen/Documents/CSC475/Project/music_repo/08 Rollin' & Scratchin'.m4a
Careless,Dusky,122,391.7206349206349,/home/kaileen/Documents/CSC475/Project/music_repo/01 Careless.m4a
Swords Crossed,Klaus Badelt,70,195.70666666666668,/home/kaileen/Documents/CSC475/Project/music_repo/Swords Crossed.flac
Aliena,David Gtronic & Randall M,120,528.1378684807256,/home/kaileen/Documents/CSC475/Project/music_repo/01 Aliena.m4a
Without You (feat. Totally Enormous Extinct Dinosaurs),Dillon Francis,60,246.03863945578232,/home/kaileen/Documents/CSC475/Project/music_repo/01 Without You (feat. Totally Enormous Extinct Dinosaurs).m4a
Get Lucky (feat. Pharrell Williams) [Daft Punk Remix],Daft Punk,116,632.7205442176871,/home/kaileen/Documents/CSC475/Project/music_repo/01 Get Lucky (feat. Pharrell Williams) [Daft Punk Remix].m4a
Naïveté (Part 2),Solus,118,198.66993197278913,/home/kaileen/Documents/CSC475/Project/music_repo/08 Naïveté (Part 2).m4a
Soundtrack 2 My Life,Kid Cudi,86,235.65931972789116,/home/kaileen/Documents/CSC475/Project/music_repo/02 Soundtrack 2 My Life.m4a
Dumpweed,Blink-182,102,143.94049886621315,/home/kaileen/Documents/CSC475/Project/music_repo/Dumpweed.m4a
Up Up & Away,Kid Cudi,120,227.36979591836734,/home/kaileen/Documents/CSC475/Project/music_repo/15 Up Up & Away.m4a
Dying,Codes,65,275.11002267573696,/home/kaileen/Documents/CSC475/Project/music_repo/01 Dying.m4a
First Time House,Fulbert,120,401.47301587301587,/home/kaileen/Documents/CSC475/Project/music_repo/01 First Time House.m4a
The Sound of Silence,Simon and Garfunkel,110,183.99492063492065,/home/kaileen/Documents/CSC475/Project/music_repo/The Sound of Silence.m4a
First Laki,Dimbiman,126,399.49931972789113,/home/kaileen/Documents/CSC475/Project/music_repo/1-07 First Laki.m4a
The Hat,Friend Within,122,363.97278911564626,/home/kaileen/Documents/CSC475/Project/music_repo/02 The Hat.m4a
Aztec Two-Step,Meshuggah,44,644.1679818594105,/home/kaileen/Documents/CSC475/Project/music_repo/15 Aztec Two-Step.m4a
Hyyerr,Kid Cudi Feat. Chip Tha Ripper,120,212.11428571428573,/home/kaileen/Documents/CSC475/Project/music_repo/14 Hyyerr.m4a
Pursuit,Detroit Swindle,124,500.0417233560091,/home/kaileen/Documents/CSC475/Project/music_repo/02 Pursuit.m4a
Won't Look Back (Shadow Child Remix),Duke Dumont,124,391.0704761904762,/home/kaileen/Documents/CSC475/Project/music_repo/02 Won't Look Back (Shadow Child Remix).m4a
Tunnel,Crackazat,63,387.8661224489796,/home/kaileen/Documents/CSC475/Project/music_repo/07 Tunnel.m4a
The Mechanism (Original Mix),Disclosure & Friend Within,120,386.7747845804989,/home/kaileen/Documents/CSC475/Project/music_repo/The Mechanism (Original Mix).m4a
Show Me the Way,DJ Sneak,126,458.24580498866214,/home/kaileen/Documents/CSC475/Project/music_repo/03 Show Me the Way.m4a
Montparnasse,Floating Points,116,670.7083900226758,/home/kaileen/Documents/CSC475/Project/music_repo/02 Montparnasse.m4a
Duke's Train,DJ DUKE,63,473.13619047619045,/home/kaileen/Documents/CSC475/Project/music_repo/Duke's Train.wav
Blood Ritual,Klaus Badelt,61,212.73333333333332,/home/kaileen/Documents/CSC475/Project/music_repo/Blood Ritual.flac
Rust,Dark Science,124,434.7239909297052,/home/kaileen/Documents/CSC475/Project/music_repo/02 Rust.m4a
My Direction,Sum 41,82,122.74068027210885,/home/kaileen/Documents/CSC475/Project/music_repo/My Direction.m4a
Don't Leave Me,Blink-182,73,143.6154195011338,/home/kaileen/Documents/CSC475/Project/music_repo/Don't Leave Me.m4a
Hyper-Insomnia-Para-Condrioid,Sum 41,118,152.6247619047619,/home/kaileen/Documents/CSC475/Project/music_repo/Hyper-Insomnia-Para-Condrioid.m4a
Think Twice,"Claude Young, Takasi Nakajima & Different World",126,514.6702947845805,/home/kaileen/Documents/CSC475/Project/music_repo/02 Think Twice.m4a
Liebe Suende,Cosmin TRG,126,400.1494784580499,/home/kaileen/Documents/CSC475/Project/music_repo/01 Liebe Suende.m4a
Live at the Cosmic Carnival,Detroit Swindle,126,413.6634920634921,/home/kaileen/Documents/CSC475/Project/music_repo/03 Live at the Cosmic Carnival.m4a
Eye Light,Crackazat,122,365.946485260771,/home/kaileen/Documents/CSC475/Project/music_repo/04 Eye Light.m4a
Goose,Frits Wentink,120,386.33360544217686,/home/kaileen/Documents/CSC475/Project/music_repo/01 Goose.m4a
Surfin' U.S.A.,The Beach Boys,79,148.4451700680272,/home/kaileen/Documents/CSC475/Project/music_repo/Surfin' U.S.A.m4a
Independent Eye,Solus,112,239.21197278911563,/home/kaileen/Documents/CSC475/Project/music_repo/03 Independent Eye.m4a
Charlie Chazz & Rappin Ralph,Duck Sauce,64,297.888798185941,/home/kaileen/Documents/CSC475/Project/music_repo/02 Charlie Chazz & Rappin Ralph.m4a
To the Pirates' Cave!,Klaus Badelt,70,210.54666666666665,/home/kaileen/Documents/CSC475/Project/music_repo/To the Pirates' Cave!.flac
